Tue Aug 18 03:05:51 2026    maintenance/perfective/04_reverse_engineering/get_tasks.prof

         209836 function calls (207999 primitive calls) in 0.301 seconds

   Ordered by: internal time
   List reduced from 811 to 15 due to restriction <15>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       61    0.087    0.001    0.087    0.001 {method 'execute' of 'sqlite3.Cursor' objects}
    12517    0.025    0.000    0.080    0.000 C:\Users\MEHEDUL IT\OneDrive\Desktop\to-do\.venv\Lib\site-packages\sqlalchemy\orm\loading.py:1068(_instance)
    12517    0.020    0.000    0.020    0.000 C:\Users\MEHEDUL IT\OneDrive\Desktop\to-do\.venv\Lib\site-packages\sqlalchemy\orm\loading.py:1329(_populate_full)
       60    0.018    0.000    0.018    0.000 {method 'fetchall' of 'sqlite3.Cursor' objects}
    12517    0.014    0.000    0.014    0.000 C:\Users\MEHEDUL IT\OneDrive\Desktop\to-do\.venv\Lib\site-packages\sqlalchemy\orm\state.py:201(__init__)
  564/436    0.013    0.000    0.014    0.000 {built-in method builtins.hasattr}
       62    0.013    0.000    0.013    0.000 C:\Users\MEHEDUL IT\OneDrive\Desktop\to-do\.venv\Lib\site-packages\sqlalchemy\inspection.py:114(inspect)
    12517    0.011    0.000    0.029    0.000 C:\Users\MEHEDUL IT\OneDrive\Desktop\to-do\.venv\Lib\site-packages\sqlalchemy\orm\instrumentation.py:501(new_instance)
       60    0.008    0.000    0.026    0.000 C:\Users\MEHEDUL IT\OneDrive\Desktop\to-do\.venv\Lib\site-packages\sqlalchemy\engine\result.py:576(_raw_all_rows)
        1    0.007    0.007    0.303    0.303 C:\Users\MEHEDUL IT\OneDrive\Desktop\to-do\maintenance\perfective\04_reverse_engineering\profile_get_tasks.py:37(run_representative_queries)
    12517    0.006    0.000    0.011    0.000 C:\Users\MEHEDUL IT\OneDrive\Desktop\to-do\.venv\Lib\site-packages\sqlalchemy\orm\state.py:539(_cleanup)
       60    0.005    0.000    0.121    0.002 C:\Users\MEHEDUL IT\OneDrive\Desktop\to-do\.venv\Lib\site-packages\sqlalchemy\engine\result.py:582(_allrows)
      120    0.004    0.000    0.111    0.001 C:\Users\MEHEDUL IT\OneDrive\Desktop\to-do\.venv\Lib\site-packages\sqlalchemy\orm\loading.py:208(chunks)
    12517    0.003    0.000    0.005    0.000 C:\Users\MEHEDUL IT\OneDrive\Desktop\to-do\.venv\Lib\site-packages\sqlalchemy\orm\identity.py:262(_fast_discard)
   540/60    0.003    0.000    0.006    0.000 C:\Users\MEHEDUL IT\OneDrive\Desktop\to-do\.venv\Lib\site-packages\sqlalchemy\sql\cache_key.py:221(_gen_cache_key)


